"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Volume","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BIOCON","EQ","13-Apr-2015","        467.10","        469.60","        491.80","        468.15","        487.80","        488.70","        481.59","    2337764","          1125851109.05","      44225","     735680","         31.47"
"BIOCON","EQ","15-Apr-2015","        488.70","        490.65","        495.70","        474.45","        477.00","        477.90","        486.89","    1367669","           665909967.45","      27107","     415073","         30.35"
"BIOCON","EQ","16-Apr-2015","        477.90","        478.00","        482.40","        463.00","        471.45","        471.40","        470.99","     917630","           432193992.95","      17987","     267040","         29.10"
"BIOCON","EQ","17-Apr-2015","        471.40","        472.00","        476.25","        463.25","        466.00","        465.80","        470.79","     644312","           303334322.75","      12842","     166177","         25.79"
"BIOCON","EQ","20-Apr-2015","        465.80","        467.00","        469.90","        445.40","        450.00","        449.65","        456.25","    1160262","           529369706.25","      21368","     411143","         35.44"
"BIOCON","EQ","21-Apr-2015","        449.65","        450.00","        454.35","        441.00","        442.90","        442.90","        447.83","    1013762","           453992086.95","      18229","     407705","         40.22"
"BIOCON","EQ","22-Apr-2015","        442.90","        444.00","        464.95","        434.10","        463.50","        455.95","        448.94","    1309342","           587809469.75","      20777","     342842","         26.18"
"BIOCON","EQ","23-Apr-2015","        455.95","        468.80","        470.00","        450.00","        452.00","        451.65","        460.56","    2014067","           927602721.35","      39025","     481381","         23.90"
"BIOCON","EQ","24-Apr-2015","        451.65","        453.80","        455.00","        441.90","        447.40","        445.05","        448.42","     660162","           296027340.80","      14642","     142020","         21.51"
"BIOCON","EQ","27-Apr-2015","        445.05","        448.20","        449.15","        432.80","        433.10","        435.00","        438.84","     601638","           264023215.25","      14751","     126040","         20.95"
"BIOCON","EQ","28-Apr-2015","        435.00","        435.30","        444.00","        430.00","        441.30","        441.80","        438.33","     635817","           278700258.05","      13853","     127372","         20.03"
"BIOCON","EQ","29-Apr-2015","        441.80","        443.00","        449.60","        438.05","        443.70","        444.00","        444.64","     706862","           314298589.35","      21436","     187807","         26.57"
"BIOCON","EQ","30-Apr-2015","        444.00","        452.90","        459.40","        448.65","        455.20","        452.65","        454.08","    1486958","           675190901.55","      25641","     337955","         22.73"
"BIOCON","EQ","04-May-2015","        452.65","        456.40","        458.85","        443.00","        454.10","        453.90","        451.24","     738569","           333269203.50","      18881","     180201","         24.40"
"BIOCON","EQ","05-May-2015","        453.90","        455.00","        456.90","        445.50","        445.80","        446.60","        449.82","     608560","           273742947.70","      16577","     264504","         43.46"
"BIOCON","EQ","06-May-2015","        446.60","        445.60","        445.80","        422.00","        423.90","        425.50","        432.46","     788605","           341038234.25","      25658","     313874","         39.80"
"BIOCON","EQ","07-May-2015","        425.50","        425.40","        430.40","        418.85","        424.00","        423.85","        424.79","     948926","           403093809.75","      23861","     262825","         27.70"
"BIOCON","EQ","08-May-2015","        423.85","        430.00","        435.50","        425.30","        434.80","        434.00","        431.56","     747090","           322415739.85","      16468","     175789","         23.53"
"BIOCON","EQ","11-May-2015","        434.00","        436.00","        443.00","        434.00","        439.60","        440.20","        438.70","     422284","           185253970.00","       9414","      88069","         20.86"
"BIOCON","EQ","12-May-2015","        440.20","        440.20","        440.50","        430.00","        432.00","        431.80","        433.23","     398600","           172684355.45","      13044","      73720","         18.49"
"BIOCON","EQ","13-May-2015","        431.80","        433.95","        438.50","        429.00","        434.40","        434.10","        434.46","     384275","           166953088.70","       8909","      74956","         19.51"
"BIOCON","EQ","14-May-2015","        434.10","        434.15","        441.40","        430.15","        438.15","        439.20","        438.18","     381676","           167241798.95","       9488","      65760","         17.23"
"BIOCON","EQ","15-May-2015","        439.20","        439.95","        443.20","        435.50","        442.35","        441.35","        440.71","     264496","           116566997.75","       6637","      61322","         23.18"
"BIOCON","EQ","18-May-2015","        441.35","        442.00","        451.00","        440.30","        449.80","        449.85","        447.46","     603844","           270198301.15","      14557","     130355","         21.59"
"BIOCON","EQ","19-May-2015","        449.85","        450.80","        455.60","        446.00","        449.20","        447.90","        452.16","     547743","           247665425.10","      12848","      97216","         17.75"
"BIOCON","EQ","20-May-2015","        447.90","        449.95","        455.00","        447.20","        448.85","        448.75","        451.10","     438850","           197966424.85","       9804","     107617","         24.52"
"BIOCON","EQ","21-May-2015","        448.75","        449.90","        449.90","        442.15","        445.90","        446.30","        446.07","     205047","            91464921.60","       4793","      28713","         14.00"
"BIOCON","EQ","22-May-2015","        446.30","        447.80","        452.00","        444.00","        448.00","        447.05","        447.46","     255617","           114379605.90","       5779","      56512","         22.11"
"BIOCON","EQ","25-May-2015","        447.05","        447.10","        451.00","        443.90","        449.00","        448.75","        447.96","     225480","           101006320.45","       5142","      49723","         22.05"
"BIOCON","EQ","26-May-2015","        448.75","        449.90","        449.90","        444.15","        446.80","        448.10","        446.62","     293139","           130921383.65","       6794","      49048","         16.73"
"BIOCON","EQ","27-May-2015","        448.10","        446.00","        451.95","        444.30","        449.00","        449.80","        448.46","     311587","           139733410.90","       7213","      78385","         25.16"
"BIOCON","EQ","28-May-2015","        449.80","        450.00","        451.50","        441.00","        443.50","        442.30","        444.91","     609454","           271150654.20","      10785","     241413","         39.61"
"BIOCON","EQ","29-May-2015","        442.30","        445.10","        452.60","        442.10","        451.40","        451.35","        448.17","     495606","           222113286.45","      12187","     166556","         33.61"
"BIOCON","EQ","01-Jun-2015","        451.35","        451.80","        462.00","        451.00","        454.70","        455.35","        458.08","     511603","           234353948.50","      13574","     106278","         20.77"
"BIOCON","EQ","02-Jun-2015","        455.35","        456.60","        464.95","        450.00","        454.00","        454.25","        458.35","     754272","           345717023.50","      18548","     226157","         29.98"
