"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Volume","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BRITANNIA","EQ","13-Apr-2015","       2277.90","       2277.90","       2320.00","       2269.55","       2302.75","       2310.20","       2296.01","     277352","           636801919.50","      22449","     219269","         79.06"
"BRITANNIA","EQ","15-Apr-2015","       2310.20","       2322.80","       2377.80","       2316.00","       2345.00","       2344.55","       2356.08","     207468","           488810571.15","      21019","     129504","         62.42"
"BRITANNIA","EQ","16-Apr-2015","       2344.55","       2374.00","       2375.00","       2290.25","       2323.00","       2329.15","       2325.80","     161860","           376454187.35","      17055","     116665","         72.08"
"BRITANNIA","EQ","17-Apr-2015","       2329.15","       2328.00","       2328.00","       2295.00","       2300.00","       2298.95","       2301.15","     113874","           262041179.70","      25243","      90742","         79.69"
"BRITANNIA","EQ","20-Apr-2015","       2298.95","       2330.00","       2330.00","       2150.00","       2154.00","       2170.00","       2188.55","     262487","           574464996.80","      37154","     203778","         77.63"
"BRITANNIA","EQ","21-Apr-2015","       2170.00","       2170.00","       2189.70","       2035.50","       2069.50","       2069.50","       2124.95","     238696","           507217245.55","      45113","     181390","         75.99"
"BRITANNIA","EQ","22-Apr-2015","       2069.50","       2069.50","       2119.95","       2046.50","       2060.00","       2066.25","       2078.37","     283304","           588810089.55","      33492","     183151","         64.65"
"BRITANNIA","EQ","23-Apr-2015","       2066.25","       2072.50","       2162.00","       2072.50","       2157.00","       2151.65","       2110.84","     160707","           339227321.60","      20011","     108590","         67.57"
"BRITANNIA","EQ","24-Apr-2015","       2151.65","       2170.00","       2181.85","       2115.65","       2130.00","       2139.70","       2163.64","     191441","           414210247.10","      20101","     150612","         78.67"
"BRITANNIA","EQ","27-Apr-2015","       2139.70","       2145.00","       2145.00","       2006.50","       2065.15","       2071.50","       2053.42","      96251","           197643744.75","      13011","      59711","         62.04"
"BRITANNIA","EQ","28-Apr-2015","       2071.50","       2081.00","       2130.00","       2046.55","       2088.10","       2095.05","       2094.11","     157869","           330594295.75","      20157","     113981","         72.20"
"BRITANNIA","EQ","29-Apr-2015","       2095.05","       2096.00","       2168.45","       2085.00","       2149.90","       2151.60","       2139.11","     100540","           215065779.60","      17718","      66254","         65.90"
"BRITANNIA","EQ","30-Apr-2015","       2151.60","       2149.00","       2215.00","       2149.00","       2197.00","       2197.85","       2187.87","     151288","           330999089.60","      20732","     110921","         73.32"
"BRITANNIA","EQ","04-May-2015","       2197.85","       2208.00","       2260.00","       2202.00","       2257.95","       2248.40","       2231.88","      59994","           133899190.00","       7330","      38881","         64.81"
"BRITANNIA","EQ","05-May-2015","       2248.40","       2250.00","       2374.40","       2249.90","       2367.00","       2344.95","       2311.81","      86370","           199671229.60","       7047","      52999","         61.36"
"BRITANNIA","EQ","06-May-2015","       2344.95","       2356.00","       2405.00","       2235.10","       2250.00","       2247.30","       2292.23","     224146","           513794866.60","      17727","     146756","         65.47"
"BRITANNIA","EQ","07-May-2015","       2247.30","       2245.00","       2289.80","       2190.65","       2245.00","       2236.35","       2241.79","     111302","           249515672.75","       9056","      64565","         58.01"
"BRITANNIA","EQ","08-May-2015","       2236.35","       2247.00","       2298.00","       2196.70","       2201.00","       2203.40","       2242.19","      93674","           210034977.45","       8770","      53890","         57.53"
"BRITANNIA","EQ","11-May-2015","       2203.40","       2230.00","       2299.00","       2209.15","       2284.00","       2283.20","       2252.93","     152610","           343819178.15","       9831","     120458","         78.93"
"BRITANNIA","EQ","12-May-2015","       2283.20","       2285.00","       2285.00","       2248.00","       2270.00","       2272.40","       2264.37","      51633","           116916170.75","       7950","      30245","         58.58"
"BRITANNIA","EQ","13-May-2015","       2272.40","       2310.00","       2310.00","       2254.10","       2262.00","       2282.60","       2284.01","      95546","           218228493.50","       9692","      71450","         74.78"
"BRITANNIA","EQ","14-May-2015","       2282.60","       2283.10","       2315.00","       2236.00","       2260.00","       2258.30","       2275.95","      51175","           116471546.25","       5417","      28963","         56.60"
"BRITANNIA","EQ","15-May-2015","       2258.30","       2275.00","       2300.00","       2251.05","       2272.00","       2263.90","       2286.88","      95910","           219334722.30","       8560","      64872","         67.64"
"BRITANNIA","EQ","18-May-2015","       2263.90","       2274.00","       2300.00","       2260.45","       2300.00","       2293.85","       2286.31","      52922","           120995998.80","       6666","      36921","         69.76"
"BRITANNIA","EQ","19-May-2015","       2293.85","       2301.00","       2338.95","       2296.00","       2325.95","       2324.75","       2323.89","      78799","           183120478.90","       8920","      54006","         68.54"
"BRITANNIA","EQ","20-May-2015","       2324.75","       2336.00","       2363.10","       2320.15","       2324.00","       2332.05","       2346.98","     257355","           604006907.00","      22546","     213604","         83.00"
"BRITANNIA","EQ","21-May-2015","       2332.05","       2355.85","       2377.30","       2272.00","       2279.95","       2287.85","       2314.61","     163160","           377652313.35","      10399","      80922","         49.60"
"BRITANNIA","EQ","22-May-2015","       2287.85","       2397.00","       2554.65","       2375.00","       2435.00","       2430.85","       2455.12","     785651","          1928871311.55","      49944","     282493","         35.96"
"BRITANNIA","EQ","25-May-2015","       2430.85","       2449.75","       2528.90","       2440.00","       2523.00","       2507.00","       2482.43","     244821","           607749942.75","      18859","     129578","         52.93"
"BRITANNIA","EQ","26-May-2015","       2507.00","       2511.00","       2549.00","       2490.00","       2534.00","       2513.65","       2521.37","     130310","           328559934.70","      12399","      55979","         42.96"
"BRITANNIA","EQ","27-May-2015","       2513.65","       2520.00","       2598.00","       2500.00","       2580.00","       2578.75","       2571.83","     282218","           725816184.70","      23731","     142016","         50.32"
"BRITANNIA","EQ","28-May-2015","       2578.75","       2590.00","       2668.00","       2588.00","       2645.00","       2657.25","       2642.97","     489328","          1293276907.05","      29380","     269816","         55.14"
"BRITANNIA","EQ","29-May-2015","       2657.25","       2669.00","       2686.00","       2520.00","       2547.00","       2544.70","       2613.92","     453938","          1186555462.55","      37332","     311180","         68.55"
"BRITANNIA","EQ","01-Jun-2015","       2544.70","       2560.00","       2605.00","       2504.70","       2563.00","       2567.90","       2567.10","     187562","           481490466.50","      25225","      75521","         40.26"
"BRITANNIA","EQ","02-Jun-2015","       2567.90","       2571.00","       2596.50","       2501.10","       2505.00","       2509.10","       2542.95","     118697","           301840567.65","      11219","      51388","         43.29"
"BRITANNIA","EQ","03-Jun-2015","       2509.10","       2515.00","       2532.00","       2424.00","       2532.00","       2511.60","       2484.43","     185017","           459662517.90","      18052","      91103","         49.24"
"BRITANNIA","EQ","04-Jun-2015","       2511.60","       2532.00","       2594.80","       2510.00","       2589.00","       2580.40","       2567.84","     220648","           566589723.90","      18871","     101353","         45.93"
"BRITANNIA","EQ","05-Jun-2015","       2580.40","       2590.40","       2725.00","       2585.00","       2723.00","       2709.45","       2676.18","     466245","          1247753732.85","      35685","     153020","         32.82"
"BRITANNIA","EQ","08-Jun-2015","       2709.45","       2734.10","       2744.00","       2629.00","       2630.00","       2643.95","       2691.10","     235541","           633865320.25","      25700","      97210","         41.27"
"BRITANNIA","EQ","09-Jun-2015","       2643.95","       2664.90","       2715.70","       2576.60","       2605.00","       2597.60","       2632.65","     302803","           797173650.55","      38518","     147578","         48.74"
"BRITANNIA","EQ","10-Jun-2015","       2597.60","       2609.00","       2647.00","       2580.50","       2601.00","       2597.35","       2606.37","     165273","           430762141.30","      14157","      77945","         47.16"
"BRITANNIA","EQ","11-Jun-2015","       2597.35","       2629.00","       2651.90","       2585.70","       2608.50","       2602.65","       2607.95","     223086","           581798230.15","      21092","     118392","         53.07"
"BRITANNIA","EQ","12-Jun-2015","       2602.65","       2606.70","       2630.00","       2594.80","       2599.90","       2605.50","       2612.65","     151819","           396650665.45","      18388","      84723","         55.81"
"BRITANNIA","EQ","15-Jun-2015","       2605.50","       2629.75","       2643.00","       2582.85","       2630.00","       2623.15","       2622.54","     125831","           329997185.10","       9001","      52932","         42.07"
