"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Volume","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EICHERMOT","EQ","13-Apr-2015","      16230.25","      16200.00","      16231.00","      16001.00","      16020.00","      16070.70","      16123.94","      43662","           704003262.40","      13457","      29843","         68.35"
"EICHERMOT","EQ","15-Apr-2015","      16070.70","      16099.90","      16120.00","      15810.00","      15830.00","      15872.70","      15940.67","      44445","           708482931.70","      12039","      29251","         65.81"
"EICHERMOT","EQ","16-Apr-2015","      15872.70","      16240.00","      16240.00","      15734.00","      15760.00","      15837.20","      16007.99","     108100","          1730464046.15","      25469","      56798","         52.54"
"EICHERMOT","EQ","17-Apr-2015","      15837.20","      15850.00","      15875.00","      15199.95","      15223.95","      15311.10","      15500.59","      57568","           892338180.20","      16875","      32524","         56.50"
"EICHERMOT","EQ","20-Apr-2015","      15311.10","      15310.00","      15310.00","      14630.00","      14777.05","      14762.00","      14789.72","      90233","          1334521145.55","      24222","      47214","         52.32"
"EICHERMOT","EQ","21-Apr-2015","      14762.00","      14900.00","      14948.70","      14136.00","      14310.30","      14310.30","      14558.06","      90421","          1316354605.50","      22492","      53765","         59.46"
"EICHERMOT","EQ","22-Apr-2015","      14310.30","      14400.00","      14469.95","      14060.35","      14400.00","      14366.15","      14231.08","     110913","          1578411718.20","      25791","      66731","         60.17"
"EICHERMOT","EQ","23-Apr-2015","      14366.15","      14510.00","      14846.05","      14451.00","      14650.00","      14747.05","      14666.38","      47521","           696961088.00","       9216","      16645","         35.03"
"EICHERMOT","EQ","24-Apr-2015","      14747.05","      14742.00","      14859.00","      14490.40","      14695.00","      14720.50","      14703.54","     122626","          1803036523.20","      16470","      88266","         71.98"
"EICHERMOT","EQ","27-Apr-2015","      14720.50","      14555.00","      15070.00","      13900.10","      14815.25","      14771.05","      14531.32","      98264","          1427905644.05","      17444","      54963","         55.93"
