"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Volume","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HEIDELBERG","EQ","13-Apr-2015","         78.20","         78.70","         80.85","         78.35","         80.15","         80.15","         79.99","     189183","            15133216.15","       1460","     112516","         59.47"
"HEIDELBERG","EQ","15-Apr-2015","         80.15","         80.85","         81.75","         78.05","         78.35","         78.55","         79.86","     201172","            16065405.20","       1341","     117184","         58.25"
"HEIDELBERG","EQ","16-Apr-2015","         78.55","         79.00","         79.50","         77.50","         78.00","         77.85","         78.31","     124294","             9733900.50","       1185","      72232","         58.11"
"HEIDELBERG","EQ","17-Apr-2015","         77.85","         78.40","         78.40","         74.60","         74.60","         75.00","         75.84","     198961","            15090128.00","       1608","     114771","         57.69"
"HEIDELBERG","EQ","20-Apr-2015","         75.00","         75.45","         75.45","         70.70","         71.50","         71.35","         72.05","     374017","            26948478.15","       5428","     265173","         70.90"
"HEIDELBERG","EQ","21-Apr-2015","         71.35","         71.80","         73.15","         70.80","         71.10","         71.10","         71.79","     218305","            15672060.55","       2274","     113808","         52.13"
"HEIDELBERG","EQ","22-Apr-2015","         71.10","         71.60","         73.20","         70.40","         72.20","         72.25","         71.95","     138325","             9953173.15","       1034","      75204","         54.37"
"HEIDELBERG","EQ","23-Apr-2015","         72.25","         72.50","         73.30","         71.60","         72.15","         72.15","         72.46","     121299","             8789213.15","       1467","      62779","         51.76"
"HEIDELBERG","EQ","24-Apr-2015","         72.15","         71.95","         72.30","         70.20","         71.90","         71.20","         71.21","     159227","            11337903.45","       1903","      83347","         52.34"
"HEIDELBERG","EQ","27-Apr-2015","         71.20","         73.05","         75.25","         70.65","         72.00","         71.75","         72.42","     430621","            31183685.35","       4505","     231197","         53.69"
"HEIDELBERG","EQ","28-Apr-2015","         71.75","         71.85","         72.55","         71.05","         71.40","         71.60","         71.67","      81225","             5821078.10","        856","      40228","         49.53"
"HEIDELBERG","EQ","29-Apr-2015","         71.60","         71.60","         72.70","         71.30","         71.40","         71.50","         71.96","      99209","             7139009.70","       1320","      46590","         46.96"
"HEIDELBERG","EQ","30-Apr-2015","         71.50","         71.25","         71.90","         69.65","         70.25","         70.15","         70.50","     192935","            13602745.95","       1870","     146908","         76.14"
"HEIDELBERG","EQ","04-May-2015","         70.15","         71.80","         74.30","         71.25","         73.90","         73.55","         73.02","     516780","            37737428.30","       4805","     146485","         28.35"
"HEIDELBERG","EQ","05-May-2015","         73.55","         73.75","         75.95","         72.65","         75.55","         75.30","         74.45","     211348","            15734326.25","       1566","     108898","         51.53"
"HEIDELBERG","EQ","06-May-2015","         75.30","         74.90","         74.90","         71.15","         71.85","         71.55","         72.50","     233858","            16954092.40","       2111","     114041","         48.77"
"HEIDELBERG","EQ","07-May-2015","         71.55","         71.25","         71.80","         68.15","         68.80","         68.70","         69.84","     139271","             9727325.00","       1372","      62122","         44.61"
"HEIDELBERG","EQ","08-May-2015","         68.70","         70.00","         71.50","         69.00","         69.20","         69.60","         70.27","     108144","             7598987.00","        800","      61044","         56.45"
"HEIDELBERG","EQ","11-May-2015","         69.60","         70.00","         71.20","         70.00","         70.90","         70.60","         70.58","      80848","             5706271.05","        666","      41203","         50.96"
"HEIDELBERG","EQ","12-May-2015","         70.60","         70.60","         71.00","         68.55","         69.50","         69.35","         69.24","      69707","             4826376.40","        783","      33747","         48.41"
"HEIDELBERG","EQ","13-May-2015","         69.35","         69.90","         70.65","         68.85","         69.25","         69.20","         69.67","      93423","             6508360.80","        913","      38198","         40.89"
"HEIDELBERG","EQ","14-May-2015","         69.20","         69.25","         69.75","         68.50","         68.95","         68.85","         69.07","      75260","             5197842.30","        705","      30280","         40.23"
"HEIDELBERG","EQ","15-May-2015","         68.85","         69.00","         72.90","         68.50","         71.30","         71.40","         71.83","     160217","            11508209.50","       1377","      85598","         53.43"
"HEIDELBERG","EQ","18-May-2015","         71.40","         72.10","         72.80","         71.00","         72.10","         72.30","         72.02","     110862","             7984720.00","        937","      48615","         43.85"
"HEIDELBERG","EQ","19-May-2015","         72.30","         72.30","         72.75","         71.10","         71.80","         71.35","         71.68","     102040","             7313997.00","        805","      49011","         48.03"
"HEIDELBERG","EQ","20-May-2015","         71.35","         72.10","         72.90","         70.10","         70.55","         70.35","         71.69","      90011","             6452565.85","        649","      52629","         58.47"
"HEIDELBERG","EQ","21-May-2015","         70.35","         70.35","         71.40","         69.95","         71.40","         70.85","         70.61","      69458","             4904603.80","        721","      23312","         33.56"
"HEIDELBERG","EQ","22-May-2015","         70.85","         70.25","         72.00","         70.20","         70.60","         70.50","         70.92","      70581","             5005816.95","        638","      31515","         44.65"
"HEIDELBERG","EQ","25-May-2015","         70.50","         70.00","         71.70","         70.00","         70.65","         70.50","         70.76","     113930","             8061193.00","        980","      45627","         40.05"
"HEIDELBERG","EQ","26-May-2015","         70.50","         69.30","         70.85","         67.50","         69.30","         69.20","         69.28","     316782","            21945423.50","       3118","     126658","         39.98"
"HEIDELBERG","EQ","27-May-2015","         69.20","         68.30","         68.60","         67.50","         67.80","         67.80","         68.15","     142450","             9707858.15","       1161","      85462","         59.99"
"HEIDELBERG","EQ","28-May-2015","         67.80","         67.85","         67.95","         66.50","         66.85","         66.75","         66.97","      95596","             6402015.70","        811","      54905","         57.43"
"HEIDELBERG","EQ","29-May-2015","         66.75","         67.05","         69.25","         65.80","         67.60","         67.80","         66.76","     320800","            21417622.40","       2518","     229133","         71.43"
"HEIDELBERG","EQ","01-Jun-2015","         67.80","         68.15","         69.70","         67.50","         69.45","         69.15","         68.90","      87557","             6033069.65","        703","      57671","         65.87"
"HEIDELBERG","EQ","02-Jun-2015","         69.15","         69.25","         70.40","         68.00","         68.00","         68.05","         69.24","     166825","            11551676.80","        971","     108988","         65.33"
"HEIDELBERG","EQ","03-Jun-2015","         68.05","         68.00","         69.00","         64.55","         66.25","         66.50","         66.31","      92718","             6148346.05","        926","      55761","         60.14"
"HEIDELBERG","EQ","04-Jun-2015","         66.50","         66.50","         67.60","         65.25","         65.35","         65.70","         66.42","      78450","             5210679.45","        828","      31794","         40.53"
"HEIDELBERG","EQ","05-Jun-2015","         65.70","         66.00","         66.40","         64.30","         64.65","         64.75","         65.34","      74289","             4854282.05","        790","      45675","         61.48"
"HEIDELBERG","EQ","08-Jun-2015","         64.75","         64.90","         66.00","         64.10","         64.10","         64.35","         64.65","      49255","             3184486.90","        492","      35183","         71.43"
"HEIDELBERG","EQ","09-Jun-2015","         64.35","         64.00","         64.50","         62.70","         63.40","         63.50","         63.45","      42137","             2673785.80","        542","      24281","         57.62"
"HEIDELBERG","EQ","10-Jun-2015","         63.50","         63.40","         65.60","         62.50","         64.85","         64.60","         64.57","      65725","             4243674.95","        799","      30846","         46.93"
"HEIDELBERG","EQ","11-Jun-2015","         64.60","         64.30","         65.45","         61.70","         61.75","         61.90","         62.91","      77745","             4891293.45","        823","      50914","         65.49"
