"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Volume","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIBANK","EQ","13-Apr-2015","        318.30","        319.90","        319.90","        316.00","        317.00","        316.90","        317.58","    8009699","          2543741157.85","      91502","    5119221","         63.91"
"ICICIBANK","EQ","15-Apr-2015","        316.90","        318.35","        322.30","        313.05","        313.90","        315.00","        319.49","   10270686","          3281411916.90","     113525","    5808112","         56.55"
"ICICIBANK","EQ","16-Apr-2015","        315.00","        315.90","        316.00","        310.15","        312.10","        312.50","        312.63","    8802458","          2751876917.40","     116554","    4984520","         56.63"
"ICICIBANK","EQ","17-Apr-2015","        312.50","        314.05","        314.95","        308.25","        310.90","        310.10","        310.21","   10581425","          3282420932.20","     118161","    6486392","         61.30"
"ICICIBANK","EQ","20-Apr-2015","        310.10","        312.90","        317.60","        308.30","        311.60","        311.15","        313.50","   10603355","          3324169522.55","     116149","    5212914","         49.16"
"ICICIBANK","EQ","21-Apr-2015","        311.15","        311.00","        316.60","        309.95","        310.85","        310.85","        313.33","    9048763","          2835242300.05","     111353","    4865059","         53.76"
"ICICIBANK","EQ","22-Apr-2015","        310.85","        313.25","        315.00","        303.40","        312.95","        312.95","        310.58","   11142006","          3460474739.70","     128364","    5369711","         48.19"
"ICICIBANK","EQ","23-Apr-2015","        312.95","        314.25","        315.90","        309.75","        312.05","        311.85","        312.29","    9411673","          2939162302.45","     103139","    4939558","         52.48"
"ICICIBANK","EQ","24-Apr-2015","        311.85","        312.45","        312.55","        307.10","        308.50","        308.25","        308.95","   12256632","          3786718542.40","     112059","    7419887","         60.54"
"ICICIBANK","EQ","27-Apr-2015","        308.25","        310.70","        312.45","        296.70","        305.00","        302.30","        305.55","   22562759","          6894009835.70","     195151","   10372898","         45.97"
"ICICIBANK","EQ","28-Apr-2015","        302.30","        305.60","        328.60","        305.60","        325.65","        326.85","        320.04","   34043202","         10895094200.40","     319492","   16421878","         48.24"
"ICICIBANK","EQ","29-Apr-2015","        326.85","        327.80","        334.80","        325.10","        331.30","        330.15","        331.44","   22274013","          7382421091.20","     221318","   12769147","         57.33"
"ICICIBANK","EQ","30-Apr-2015","        330.15","        331.00","        333.60","        325.20","        332.60","        331.15","        329.44","   18898177","          6225902869.95","     189041","   10638719","         56.29"
"ICICIBANK","EQ","04-May-2015","        331.15","        332.75","        336.90","        326.20","        329.75","        329.30","        331.47","   10280364","          3407603211.00","     134340","    5688964","         55.34"
"ICICIBANK","EQ","05-May-2015","        329.30","        329.30","        330.90","        327.10","        327.20","        328.45","        328.81","    9190098","          3021767670.95","     103630","    5383171","         58.58"
"ICICIBANK","EQ","06-May-2015","        328.45","        326.90","        338.00","        310.15","        312.15","        312.15","        317.80","   18152279","          5768800198.25","     189333","    9540547","         52.56"
"ICICIBANK","EQ","07-May-2015","        312.15","        312.20","        313.00","        300.60","        304.10","        304.60","        305.96","   14623801","          4474333271.20","     147899","    7176233","         49.07"
"ICICIBANK","EQ","08-May-2015","        304.60","        310.00","        318.90","        310.00","        316.90","        317.00","        314.95","   14247524","          4487267118.50","     164252","    8178008","         57.40"
"ICICIBANK","EQ","11-May-2015","        317.00","        320.05","        325.80","        319.10","        323.50","        323.50","        323.10","    8732220","          2821423120.85","      99490","    4600805","         52.69"
"ICICIBANK","EQ","12-May-2015","        323.50","        323.55","        324.00","        307.00","        308.00","        308.20","        311.36","   12447492","          3875617016.75","     138826","    6733999","         54.10"
"ICICIBANK","EQ","13-May-2015","        308.20","        313.15","        319.15","        306.50","        318.95","        317.65","        313.39","   14028638","          4396477372.05","     127007","    6552217","         46.71"
"ICICIBANK","EQ","14-May-2015","        317.65","        317.70","        317.95","        311.25","        315.40","        314.95","        314.28","   10611045","          3334815111.45","      86786","    5439951","         51.27"
"ICICIBANK","EQ","15-May-2015","        314.95","        315.30","        316.45","        310.55","        312.35","        312.35","        313.26","   10922521","          3421553311.15","     102863","    5911204","         54.12"
"ICICIBANK","EQ","18-May-2015","        312.35","        315.00","        316.90","        312.90","        316.10","        316.25","        314.93","    6935851","          2184321292.80","      87992","    3700988","         53.36"
"ICICIBANK","EQ","19-May-2015","        316.25","        313.95","        318.90","        312.00","        315.40","        315.35","        315.44","    8240774","          2599483183.05","     100177","    3552204","         43.11"
"ICICIBANK","EQ","20-May-2015","        315.35","        316.25","        321.00","        316.25","        318.05","        318.75","        319.39","    6868246","          2193632732.20","      74313","    2669665","         38.87"
"ICICIBANK","EQ","21-May-2015","        318.75","        320.20","        320.80","        312.70","        314.30","        313.55","        314.84","   10120640","          3186407620.30","      89585","    6432558","         63.56"
"ICICIBANK","EQ","22-May-2015","        313.55","        315.00","        318.15","        311.75","        313.15","        313.60","        315.60","    8131740","          2566360033.60","      94207","    3991033","         49.08"
"ICICIBANK","EQ","25-May-2015","        313.60","        312.00","        314.10","        310.95","        312.70","        312.15","        312.37","    4982920","          1556513436.30","      51053","    2846242","         57.12"
"ICICIBANK","EQ","26-May-2015","        312.15","        312.00","        313.00","        308.65","        310.40","        309.70","        310.03","    5005001","          1551694977.00","      70922","    2565738","         51.26"
"ICICIBANK","EQ","27-May-2015","        309.70","        311.80","        314.80","        307.50","        313.90","        313.15","        311.31","   11415591","          3553831197.30","      69180","    7605301","         66.62"
"ICICIBANK","EQ","28-May-2015","        313.15","        314.25","        316.00","        311.50","        315.75","        314.50","        313.86","   10472983","          3287045968.85","      87089","    6190069","         59.11"
"ICICIBANK","EQ","29-May-2015","        314.50","        317.10","        318.90","        314.80","        317.70","        317.25","        316.53","   20604276","          6521946324.75","     135210","   13123934","         63.70"
"ICICIBANK","EQ","01-Jun-2015","        317.25","        317.00","        319.00","        316.00","        316.45","        316.45","        317.53","    6928887","          2200124851.00","      60986","    4167857","         60.15"
"ICICIBANK","EQ","02-Jun-2015","        316.45","        317.00","        317.50","        303.00","        303.75","        304.50","        310.81","   12711099","          3950792788.60","     141996","    6669269","         52.47"
"ICICIBANK","EQ","03-Jun-2015","        304.50","        304.25","        304.25","        290.80","        296.90","        295.75","        296.45","   20755721","          6152999317.85","     194803","   13613224","         65.59"
"ICICIBANK","EQ","04-Jun-2015","        295.75","        291.80","        292.80","        285.45","        289.45","        290.10","        289.41","   18871931","          5461770527.75","     261430","   10607719","         56.21"
"ICICIBANK","EQ","05-Jun-2015","        290.10","        291.20","        292.40","        283.00","        284.50","        284.10","        288.41","   21577389","          6223234902.05","     192238","   12943287","         59.99"
"ICICIBANK","EQ","08-Jun-2015","        284.10","        285.65","        285.65","        280.35","        282.50","        283.15","        282.88","   19223390","          5437943304.90","     130753","   12190946","         63.42"
"ICICIBANK","EQ","09-Jun-2015","        283.15","        282.90","        287.80","        282.05","        286.90","        287.10","        286.05","   17646795","          5047778760.90","     117020","   11086293","         62.82"
"ICICIBANK","EQ","10-Jun-2015","        287.10","        287.00","        294.35","        286.70","        293.00","        292.50","        292.29","   15897993","          4646895211.10","     126651","    9817942","         61.76"
"ICICIBANK","EQ","11-Jun-2015","        292.50","        296.00","        297.20","        286.50","        289.00","        288.50","        289.92","   19782305","          5735214724.80","     160033","   11127409","         56.25"
"ICICIBANK","EQ","12-Jun-2015","        288.50","        289.50","        297.00","        287.15","        296.15","        295.95","        291.78","   18862337","          5503640851.65","     136711","   11382101","         60.34"
"ICICIBANK","EQ","15-Jun-2015","        295.95","        295.00","        300.35","        293.20","        298.50","        299.20","        297.95","   15473368","          4610238185.00","     107286","    9633590","         62.26"
"ICICIBANK","EQ","16-Jun-2015","        299.20","        297.05","        303.00","        293.90","        302.60","        302.05","        297.70","   14389204","          4283708447.65","     102218","    9678353","         67.26"
"ICICIBANK","EQ","17-Jun-2015","        302.05","        304.25","        304.30","        300.05","        300.85","        301.35","        302.09","   15317701","          4627370140.45","     102251","   10657644","         69.58"
"ICICIBANK","EQ","18-Jun-2015","        301.35","        304.55","        305.70","        302.35","        303.05","        303.35","        303.93","   14050420","          4270294634.10","      86251","    9561363","         68.05"
"ICICIBANK","EQ","19-Jun-2015","        303.35","        300.40","        306.00","        300.40","        305.20","        304.55","        304.61","    8236721","          2508960422.75","      78793","    4701833","         57.08"
"ICICIBANK","EQ","22-Jun-2015","        304.55","        306.40","        315.90","        306.05","        315.25","        315.05","        312.32","   15566944","          4861881842.90","     192430","    9468175","         60.82"
"ICICIBANK","EQ","23-Jun-2015","        315.05","        314.95","        316.80","        312.00","        313.45","        313.50","        314.26","   11903334","          3740699890.55","     139729","    6938561","         58.29"
"ICICIBANK","EQ","24-Jun-2015","        313.50","        313.70","        320.40","        312.65","        316.15","        317.75","        317.40","   13622637","          4323772534.20","     172660","    8502545","         62.41"
"ICICIBANK","EQ","25-Jun-2015","        317.75","        316.35","        319.65","        313.20","        315.70","        314.80","        315.92","   16713846","          5280277387.40","     100227","   10082717","         60.33"
"ICICIBANK","EQ","26-Jun-2015","        314.80","        315.00","        315.05","        308.55","        312.00","        311.70","        311.14","   10310913","          3208146193.60","      86567","    5432516","         52.69"
"ICICIBANK","EQ","29-Jun-2015","        311.70","        302.00","        313.00","        300.15","        312.15","        311.20","        305.93","   10550360","          3227640439.30","      93826","    4832867","         45.81"
"ICICIBANK","EQ","30-Jun-2015","        311.20","        310.05","        313.60","        304.05","        308.00","        308.00","        307.99","   13750127","          4234874731.95","     136707","    8156979","         59.32"
"ICICIBANK","EQ","01-Jul-2015","        308.00","        308.70","        313.50","        308.70","        312.45","        312.20","        310.54","   14074492","          4370692649.30","     176607","    8873509","         63.05"
"ICICIBANK","EQ","02-Jul-2015","        312.20","        314.30","        315.45","        311.10","        313.00","        313.00","        313.52","    8411567","          2637159389.70","     108476","    4447988","         52.88"
"ICICIBANK","EQ","03-Jul-2015","        313.00","        311.75","        315.50","        310.90","        315.00","        314.55","        313.57","    5196658","          1629512280.55","      57834","    2065107","         39.74"
"ICICIBANK","EQ","06-Jul-2015","        314.55","        309.10","        316.75","        305.25","        316.05","        315.15","        310.23","    7783837","          2414768046.60","      95508","    2750879","         35.34"
"ICICIBANK","EQ","07-Jul-2015","        315.15","        314.00","        318.00","        311.55","        313.40","        312.60","        315.06","    9651901","          3040975241.10","     103381","    5007963","         51.89"
"ICICIBANK","EQ","08-Jul-2015","        312.60","        308.40","        311.60","        306.30","        307.20","        307.55","        308.57","   12047799","          3717603777.25","     109259","    6429232","         53.36"
"ICICIBANK","EQ","09-Jul-2015","        307.55","        307.00","        310.95","        305.70","        310.20","        309.50","        309.01","    6326679","          1955037112.45","      75233","    3152127","         49.82"
"ICICIBANK","EQ","10-Jul-2015","        309.50","        312.50","        314.90","        310.25","        312.70","        313.15","        312.55","    9694687","          3030041814.10","      73936","    4932830","         50.88"
"ICICIBANK","EQ","13-Jul-2015","        313.15","        314.50","        317.20","        312.80","        316.50","        316.40","        315.27","    8149161","          2569147947.95","      72277","    4189586","         51.41"
"ICICIBANK","EQ","14-Jul-2015","        316.40","        317.00","        317.10","        312.05","        312.70","        313.45","        314.60","    7549889","          2375184696.25","      46422","    4107084","         54.40"
"ICICIBANK","EQ","15-Jul-2015","        313.45","        313.90","        316.00","        313.35","        315.00","        314.65","        314.72","    6707357","          2110915613.45","      69412","    4099261","         61.12"
"ICICIBANK","EQ","16-Jul-2015","        314.65","        314.75","        318.25","        314.40","        316.90","        317.10","        316.71","   12242640","          3877318699.60","     115665","    7651496","         62.50"
"ICICIBANK","EQ","17-Jul-2015","        317.10","        318.00","        321.00","        316.55","        317.10","        317.45","        318.88","    8490636","          2707510903.60","      80980","    4743411","         55.87"
"ICICIBANK","EQ","20-Jul-2015","        317.45","        318.95","        319.80","        312.10","        315.60","        315.80","        315.36","    8563731","          2700651683.70","      84841","    4966775","         58.00"
"ICICIBANK","EQ","21-Jul-2015","        315.80","        317.50","        317.50","        310.40","        312.60","        311.45","        314.13","    9729330","          3056239123.20","      94879","    6749466","         69.37"
"ICICIBANK","EQ","22-Jul-2015","        311.45","        310.80","        317.70","        309.80","        317.55","        316.80","        314.17","   10128791","          3182211225.30","     103630","    6715363","         66.30"
"ICICIBANK","EQ","23-Jul-2015","        316.80","        316.85","        317.70","        312.25","        312.60","        312.90","        313.88","   13831706","          4341513108.30","      76073","    9325096","         67.42"
"ICICIBANK","EQ","24-Jul-2015","        312.90","        311.80","        311.80","        299.30","        301.40","        300.60","        303.93","   19252369","          5851289002.35","     198100","   12207141","         63.41"
"ICICIBANK","EQ","27-Jul-2015","        300.60","        299.85","        299.85","        290.10","        292.30","        291.10","        293.13","   10193223","          2987980078.20","     121376","    4859072","         47.67"
"ICICIBANK","EQ","28-Jul-2015","        291.10","        291.70","        295.35","        282.70","        285.25","        285.00","        287.62","   23086612","          6640190182.70","     190722","   15671265","         67.88"
"ICICIBANK","EQ","29-Jul-2015","        285.00","        287.50","        289.90","        284.05","        288.90","        289.25","        287.69","   11968942","          3443294344.45","      87779","    7650207","         63.92"
"ICICIBANK","EQ","30-Jul-2015","        289.25","        290.00","        293.65","        287.50","        291.05","        291.00","        291.27","   12459821","          3629131593.70","      85091","    7284083","         58.46"
"ICICIBANK","EQ","31-Jul-2015","        291.00","        294.45","        308.90","        294.10","        300.80","        302.40","        302.99","   35425264","         10733375306.00","     202301","   17391578","         49.09"
"ICICIBANK","EQ","03-Aug-2015","        302.40","        304.45","        314.00","        304.20","        312.25","        312.90","        310.45","   26099623","          8102664828.65","     214138","   17021699","         65.22"
"ICICIBANK","EQ","04-Aug-2015","        312.90","        313.50","        315.25","        307.05","        315.25","        314.05","        312.47","   15270894","          4771664523.75","     124108","    7437543","         48.70"
"ICICIBANK","EQ","05-Aug-2015","        314.05","        314.75","        319.80","        309.00","        311.25","        311.35","        313.39","   12544057","          3931186329.20","      81479","    6534954","         52.10"
"ICICIBANK","EQ","06-Aug-2015","        311.35","        312.75","        312.85","        307.45","        311.50","        311.05","        309.85","   11100077","          3439411185.45","      80196","    6105667","         55.01"
"ICICIBANK","EQ","07-Aug-2015","        311.05","        309.90","        312.55","        308.45","        310.75","        310.15","        310.73","    5650310","          1755703415.10","      45122","    3192545","         56.50"
"ICICIBANK","EQ","10-Aug-2015","        310.15","        310.00","        314.00","        307.15","        308.00","        309.60","        311.10","    6998388","          2177211546.05","      93546","    4047647","         57.84"
"ICICIBANK","EQ","11-Aug-2015","        309.60","        309.90","        309.90","        300.75","        303.40","        302.25","        304.03","    9482905","          2883063339.75","      73159","    4541091","         47.89"
"ICICIBANK","EQ","12-Aug-2015","        302.25","        300.00","        300.15","        290.10","        292.00","        291.65","        294.68","    9356855","          2757249367.65","      94304","    4674873","         49.96"
"ICICIBANK","EQ","13-Aug-2015","        291.65","        295.25","        298.70","        290.85","        292.95","        291.90","        293.47","   12504278","          3669628912.95","     133496","    6591438","         52.71"
"ICICIBANK","EQ","14-Aug-2015","        291.90","        294.25","        303.80","        292.05","        302.80","        302.60","        298.20","    8790774","          2621365100.85","      90897","    3395962","         38.63"
"ICICIBANK","EQ","17-Aug-2015","        302.60","        301.95","        304.70","        296.85","        302.40","        302.90","        301.92","    7573765","          2286678406.80","      54835","    3290459","         43.45"
"ICICIBANK","EQ","18-Aug-2015","        302.90","        303.00","        304.20","        297.70","        301.05","        301.10","        300.62","    5396784","          1622393560.90","      52838","    2168126","         40.17"
"ICICIBANK","EQ","19-Aug-2015","        301.10","        301.05","        305.40","        300.50","        305.00","        304.50","        303.78","    7958428","          2417609454.00","      62911","    4999391","         62.82"
"ICICIBANK","EQ","20-Aug-2015","        304.50","        300.25","        306.75","        295.85","        299.00","        298.25","        300.72","   14488138","          4356902921.50","     107478","    9149488","         63.15"
"ICICIBANK","EQ","21-Aug-2015","        298.25","        293.75","        297.90","        288.60","        295.55","        296.50","        292.94","   12518007","          3667070826.85","     119212","    7214032","         57.63"
"ICICIBANK","EQ","24-Aug-2015","        296.50","        282.40","        284.85","        267.50","        269.10","        269.95","        277.53","   30284166","          8404887232.30","     233017","   18811754","         62.12"
"ICICIBANK","EQ","25-Aug-2015","        269.95","        276.55","        284.40","        267.15","        284.00","        283.50","        277.08","   24139658","          6688514495.85","     169571","   13641386","         56.51"
"ICICIBANK","EQ","26-Aug-2015","        283.50","        279.95","        282.25","        275.70","        279.00","        278.05","        279.02","   14718073","          4106696192.45","     176475","    8620926","         58.57"
"ICICIBANK","EQ","27-Aug-2015","        278.05","        282.75","        284.50","        280.20","        282.65","        282.45","        282.53","   25349886","          7162066582.05","     180963","   15894368","         62.70"
"ICICIBANK","EQ","28-Aug-2015","        282.45","        285.05","        289.30","        281.65","        284.45","        283.70","        285.50","   13059781","          3728632197.25","     109444","    6582344","         50.40"
"ICICIBANK","EQ","31-Aug-2015","        283.70","        282.90","        284.35","        276.35","        278.00","        277.90","        280.37","   13709056","          3843580872.00","     157675","    8429636","         61.49"
"ICICIBANK","EQ","01-Sep-2015","        277.90","        275.00","        278.45","        268.30","        271.35","        270.95","        272.84","   15765853","          4301564707.60","     145195","    7974104","         50.58"
"ICICIBANK","EQ","02-Sep-2015","        270.95","        276.00","        276.75","        263.10","        264.25","        264.85","        268.75","   17114462","          4599441952.35","     129576","    8500419","         49.67"
