"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Volume","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MARUTI","EQ","13-Apr-2015","       3666.60","       3661.00","       3680.00","       3642.75","       3679.00","       3665.20","       3659.45","     218690","           800284507.05","      11704","     132121","         60.41"
"MARUTI","EQ","15-Apr-2015","       3665.20","       3655.00","       3729.00","       3650.40","       3671.55","       3680.25","       3697.64","     232802","           860818505.90","      12875","      65783","         28.26"
"MARUTI","EQ","16-Apr-2015","       3680.25","       3676.25","       3718.70","       3662.25","       3664.15","       3677.90","       3690.80","     206305","           761429986.60","      16220","      87929","         42.62"
"MARUTI","EQ","17-Apr-2015","       3677.90","       3666.15","       3682.90","       3636.35","       3637.00","       3646.80","       3660.63","      99056","           362607712.20","       6092","      30537","         30.83"
"MARUTI","EQ","20-Apr-2015","       3646.80","       3627.00","       3648.40","       3584.60","       3605.05","       3608.05","       3610.07","     175033","           631882092.30","      10110","      95980","         54.84"
"MARUTI","EQ","21-Apr-2015","       3608.05","       3605.00","       3607.25","       3470.00","       3490.15","       3490.15","       3517.93","     482786","          1698406524.00","      25791","     293269","         60.75"
"MARUTI","EQ","22-Apr-2015","       3490.15","       3491.05","       3508.10","       3386.10","       3490.00","       3462.95","       3446.29","     422446","          1455871343.95","      21713","     190251","         45.04"
"MARUTI","EQ","23-Apr-2015","       3462.95","       3490.00","       3535.55","       3480.00","       3496.65","       3494.45","       3502.50","     234616","           821742720.35","      13021","      91936","         39.19"
"MARUTI","EQ","24-Apr-2015","       3494.45","       3486.00","       3565.00","       3434.10","       3556.00","       3541.40","       3517.61","     332449","          1169427403.50","      18952","     103465","         31.12"
"MARUTI","EQ","27-Apr-2015","       3541.40","       3563.20","       3684.00","       3520.20","       3650.30","       3648.40","       3616.94","    1804129","          6525431998.00","      85482","     412758","         22.88"
"MARUTI","EQ","28-Apr-2015","       3648.40","       3664.00","       3838.80","       3660.00","       3830.00","       3822.60","       3760.72","    1129937","          4249381625.45","      80938","     289475","         25.62"
"MARUTI","EQ","29-Apr-2015","       3822.60","       3839.00","       3873.00","       3746.65","       3754.00","       3766.20","       3815.80","     703698","          2685170728.60","      45025","     122102","         17.35"
"MARUTI","EQ","30-Apr-2015","       3766.20","       3760.00","       3793.00","       3709.95","       3735.40","       3725.85","       3747.51","     592304","          2219662717.85","      32590","     300367","         50.71"
"MARUTI","EQ","04-May-2015","       3725.85","       3797.00","       3840.00","       3726.75","       3762.00","       3757.75","       3781.45","     478823","          1810646214.50","      25244","     134097","         28.01"
"MARUTI","EQ","05-May-2015","       3757.75","       3753.00","       3805.00","       3736.55","       3790.05","       3793.05","       3783.51","     458196","          1733587214.50","      28031","     220298","         48.08"
"MARUTI","EQ","06-May-2015","       3793.05","       3788.00","       3788.00","       3623.55","       3630.00","       3634.55","       3684.48","     430929","          1587747499.75","      24636","     160175","         37.17"
"MARUTI","EQ","07-May-2015","       3634.55","       3626.00","       3626.00","       3520.00","       3533.40","       3543.60","       3571.45","     469950","          1678401461.15","      29880","     199202","         42.39"
"MARUTI","EQ","08-May-2015","       3543.60","       3561.45","       3620.00","       3561.45","       3612.05","       3610.55","       3601.09","     495595","          1784682734.30","      27101","     195721","         39.49"
"MARUTI","EQ","11-May-2015","       3610.55","       3633.90","       3674.40","       3616.15","       3640.35","       3651.70","       3648.36","     288810","          1053684174.50","      17619","      69300","         24.00"
"MARUTI","EQ","12-May-2015","       3651.70","       3650.00","       3652.95","       3555.00","       3582.00","       3577.45","       3586.24","     332314","          1191759091.55","      27574","     168968","         50.85"
"MARUTI","EQ","13-May-2015","       3577.45","       3620.00","       3632.00","       3544.40","       3605.00","       3604.10","       3582.62","     337505","          1209153096.70","      22787","      92456","         27.39"
"MARUTI","EQ","14-May-2015","       3604.10","       3604.95","       3653.50","       3552.00","       3650.00","       3646.50","       3615.26","     287801","          1040475721.90","      15069","      61502","         21.37"
"MARUTI","EQ","15-May-2015","       3646.50","       3640.00","       3684.00","       3626.00","       3658.00","       3671.20","       3659.78","     208258","           762178485.25","      12940","      64225","         30.84"
"MARUTI","EQ","18-May-2015","       3671.20","       3675.00","       3706.40","       3652.00","       3703.00","       3697.60","       3683.70","     183483","           675896607.50","      11478","      58288","         31.77"
"MARUTI","EQ","19-May-2015","       3697.60","       3695.00","       3729.90","       3685.00","       3703.00","       3706.75","       3714.15","     175567","           652082452.95","      11131","      62378","         35.53"
"MARUTI","EQ","20-May-2015","       3706.75","       3707.10","       3749.95","       3707.00","       3707.00","       3711.90","       3731.33","     218115","           813858749.45","      11900","      76814","         35.22"
"MARUTI","EQ","21-May-2015","       3711.90","       3711.90","       3729.90","       3691.45","       3693.25","       3698.10","       3706.16","     198709","           736447771.65","      10927","      73792","         37.14"
"MARUTI","EQ","22-May-2015","       3698.10","       3703.00","       3728.80","       3694.60","       3702.00","       3702.55","       3706.99","     135158","           501029327.75","       8911","      53181","         39.35"
"MARUTI","EQ","25-May-2015","       3702.55","       3696.20","       3717.00","       3681.00","       3698.50","       3692.75","       3697.48","      81113","           299913575.55","       5031","      23745","         29.27"
"MARUTI","EQ","26-May-2015","       3692.75","       3696.00","       3730.00","       3672.00","       3725.00","       3726.45","       3717.81","     252919","           940303947.75","      11521","     123985","         49.02"
"MARUTI","EQ","27-May-2015","       3726.45","       3700.00","       3750.00","       3699.00","       3721.50","       3721.90","       3730.13","     283565","          1057735440.85","      15766","     134994","         47.61"
