"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Volume","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PVR","EQ","13-Apr-2015","        668.85","        679.80","        679.80","        661.70","        668.00","        666.90","        669.04","      19009","            12717792.75","        903","      10733","         56.46"
"PVR","EQ","15-Apr-2015","        666.90","        675.00","        675.00","        663.00","        666.00","        666.00","        666.90","      16250","            10837136.05","        851","      11268","         69.34"
"PVR","EQ","16-Apr-2015","        666.00","        670.00","        670.00","        654.00","        654.00","        656.95","        661.50","      10192","             6741981.25","        663","       5359","         52.58"
"PVR","EQ","17-Apr-2015","        656.95","        650.00","        665.00","        650.00","        658.10","        659.45","        656.12","      12223","             8019762.55","        990","       4196","         34.33"
"PVR","EQ","20-Apr-2015","        659.45","        650.15","        660.00","        645.00","        645.50","        649.25","        649.21","       8804","             5715629.55","        633","       5229","         59.39"
"PVR","EQ","21-Apr-2015","        649.25","        650.95","        650.95","        618.00","        622.05","        622.05","        630.31","      36337","            22903666.20","       2008","      21337","         58.72"
"PVR","EQ","22-Apr-2015","        622.05","        623.90","        633.15","        621.30","        629.00","        625.55","        625.70","      95304","            59631665.20","       1439","      85025","         89.21"
"PVR","EQ","23-Apr-2015","        625.55","        630.10","        636.00","        620.00","        622.00","        622.05","        628.15","      39786","            24991483.40","       1104","      29695","         74.64"
"PVR","EQ","24-Apr-2015","        622.05","        625.00","        633.95","        612.20","        633.95","        626.40","        618.54","      19341","            11963263.20","        976","      12740","         65.87"
"PVR","EQ","27-Apr-2015","        626.40","        628.05","        628.05","        613.60","        622.00","        621.50","        618.83","      20250","            12531226.50","        957","      15236","         75.24"
"PVR","EQ","28-Apr-2015","        621.50","        621.00","        625.00","        614.60","        620.00","        618.40","        619.05","     169558","           104965034.75","        708","     165901","         97.84"
"PVR","EQ","29-Apr-2015","        618.40","        624.80","        685.00","        615.20","        626.00","        626.95","        626.19","      12386","             7756048.00","       1005","       4597","         37.11"
"PVR","EQ","30-Apr-2015","        626.95","        637.00","        637.00","        610.50","        618.45","        615.10","        622.42","      54950","            34201913.70","       3087","      40245","         73.24"
"PVR","EQ","04-May-2015","        615.10","        624.95","        634.00","        621.05","        630.05","        631.75","        630.20","      15472","             9750482.70","       1431","      10083","         65.17"
"PVR","EQ","05-May-2015","        631.75","        628.00","        643.00","        623.50","        637.00","        636.80","        631.29","       9301","             5871585.75","        521","       5274","         56.70"
"PVR","EQ","06-May-2015","        636.80","        621.00","        657.45","        608.00","        647.50","        646.50","        628.28","      37572","            23605738.80","       2539","       6480","         17.25"
"PVR","EQ","07-May-2015","        646.50","        643.45","        649.00","        625.05","        646.00","        645.45","        636.84","      77734","            49504270.20","       3051","      56084","         72.15"
"PVR","EQ","08-May-2015","        645.45","        656.45","        656.45","        634.10","        651.00","        641.55","        647.46","      62599","            40530349.70","       1840","      47312","         75.58"
"PVR","EQ","11-May-2015","        641.55","        635.20","        661.15","        635.20","        660.00","        659.30","        655.72","      11894","             7799113.10","        740","       6454","         54.26"
"PVR","EQ","12-May-2015","        659.30","        659.40","        659.40","        634.80","        636.05","        637.40","        640.23","      39066","            25011148.45","        696","      32992","         84.45"
"PVR","EQ","13-May-2015","        637.40","        642.25","        644.80","        634.50","        640.00","        640.10","        639.90","      35938","            22996867.95","        829","      32274","         89.80"
"PVR","EQ","14-May-2015","        640.10","        634.25","        648.85","        630.45","        645.00","        644.85","        640.68","      19924","            12764824.20","       3300","      14274","         71.64"
"PVR","EQ","15-May-2015","        644.85","        643.35","        653.45","        637.00","        650.00","        650.50","        649.33","      30790","            19992926.05","        975","      24111","         78.31"
"PVR","EQ","18-May-2015","        650.50","        641.00","        659.90","        638.40","        650.00","        650.15","        651.20","      13756","             8957847.85","       1144","       8372","         60.86"
"PVR","EQ","19-May-2015","        650.15","        648.50","        667.00","        640.55","        644.50","        646.35","        658.27","      25739","            16943305.25","       2899","      13202","         51.29"
"PVR","EQ","20-May-2015","        646.35","        659.95","        665.55","        648.10","        648.10","        650.50","        655.92","      26479","            17367988.70","       2217","      13410","         50.64"
"PVR","EQ","21-May-2015","        650.50","        659.60","        659.60","        650.35","        659.00","        657.05","        655.48","      11680","             7656044.80","        480","       6855","         58.69"
"PVR","EQ","22-May-2015","        657.05","        653.50","        659.75","        653.50","        656.60","        655.65","        655.79","       5934","             3891438.40","        246","       4857","         81.85"
"PVR","EQ","25-May-2015","        655.65","        660.00","        660.00","        645.10","        655.10","        654.50","        652.39","       6555","             4276396.20","        772","       3581","         54.63"
"PVR","EQ","26-May-2015","        654.50","        660.00","        666.00","        650.65","        662.50","        659.70","        657.09","     221172","           145330209.25","       1217","     212155","         95.92"
"PVR","EQ","27-May-2015","        659.70","        650.00","        675.00","        641.50","        656.75","        656.05","        656.05","      13895","             9115822.45","       1269","       6519","         46.92"
"PVR","EQ","28-May-2015","        656.05","        660.15","        667.95","        649.00","        650.00","        651.75","        653.80","      13076","             8549137.90","       1150","       8268","         63.23"
