"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Volume","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","13-Apr-2015","        285.75","        287.80","        288.50","        283.35","        285.50","        286.30","        285.79","   11985436","          3425301804.05","     108287","    5525985","         46.11"
"SBIN","EQ","15-Apr-2015","        286.30","        287.40","        294.45","        285.95","        290.00","        290.00","        290.52","   17289500","          5022863326.45","     135175","   10209503","         59.05"
"SBIN","EQ","16-Apr-2015","        290.00","        290.25","        294.25","        286.50","        291.85","        292.40","        290.52","   15043998","          4370567697.50","     110312","    7669082","         50.98"
"SBIN","EQ","17-Apr-2015","        292.40","        291.00","        294.90","        289.20","        292.50","        291.75","        292.12","   16819018","          4913187552.15","     139387","    9368199","         55.70"
"SBIN","EQ","20-Apr-2015","        291.75","        291.00","        293.35","        284.85","        287.65","        287.65","        289.82","   13788536","          3996227241.75","      99364","    6538712","         47.42"
"SBIN","EQ","21-Apr-2015","        287.65","        287.40","        292.00","        281.75","        289.20","        289.20","        287.32","   15487948","          4449991455.25","     120134","    6819087","         44.03"
"SBIN","EQ","22-Apr-2015","        289.20","        290.55","        293.25","        275.40","        283.85","        283.85","        284.17","   17741741","          5041655376.85","     129567","    6897679","         38.88"
"SBIN","EQ","23-Apr-2015","        283.85","        285.00","        287.40","        276.25","        277.60","        277.65","        280.46","   13874710","          3891297539.45","     119054","    4092008","         29.49"
"SBIN","EQ","24-Apr-2015","        277.65","        278.35","        279.60","        274.35","        276.40","        275.55","        276.58","   10049508","          2779482972.55","     101030","    3843102","         38.24"
"SBIN","EQ","27-Apr-2015","        275.55","        276.55","        276.55","        266.10","        267.10","        267.05","        269.28","   12394191","          3337530516.35","     115732","    6089545","         49.13"
"SBIN","EQ","28-Apr-2015","        267.05","        267.00","        273.50","        265.15","        272.45","        272.50","        269.63","   12693457","          3422487533.55","     114365","    5204537","         41.00"
"SBIN","EQ","29-Apr-2015","        272.50","        272.25","        273.40","        269.55","        271.95","        271.90","        271.58","    8217676","          2231769978.25","      80692","    3268443","         39.77"
"SBIN","EQ","30-Apr-2015","        271.90","        270.10","        273.45","        266.70","        269.70","        269.75","        270.43","   21635216","          5850884458.40","     124844","   13503285","         62.41"
"SBIN","EQ","04-May-2015","        269.75","        274.00","        278.00","        271.65","        277.60","        277.15","        274.64","    8012690","          2200606670.15","      83806","    2884415","         36.00"
"SBIN","EQ","05-May-2015","        277.15","        277.00","        277.00","        271.35","        272.50","        272.05","        273.71","    7102772","          1944090277.90","      69508","    2986205","         42.04"
"SBIN","EQ","06-May-2015","        272.05","        271.45","        273.60","        263.25","        265.90","        265.40","        266.22","   16335660","          4348870437.65","     121003","    7986014","         48.89"
"SBIN","EQ","07-May-2015","        265.40","        264.00","        267.25","        259.65","        261.00","        260.95","        263.09","   15962706","          4199560857.50","     124184","    6948574","         43.53"
"SBIN","EQ","08-May-2015","        260.95","        264.00","        268.00","        260.30","        262.40","        261.95","        264.33","   14044596","          3712428877.05","     111263","    5783395","         41.18"
"SBIN","EQ","11-May-2015","        261.95","        263.40","        277.20","        262.60","        275.50","        276.05","        272.40","   17198308","          4684808385.05","     141017","    5864911","         34.10"
"SBIN","EQ","12-May-2015","        276.05","        275.30","        275.40","        266.35","        267.55","        267.40","        269.51","   12792368","          3447681170.20","     103059","    5950523","         46.52"
"SBIN","EQ","13-May-2015","        267.40","        269.90","        275.00","        268.05","        274.40","        274.30","        272.22","    9245732","          2516866719.80","      83160","    2519236","         27.25"
"SBIN","EQ","14-May-2015","        274.30","        274.00","        281.90","        272.95","        281.50","        280.95","        277.93","   13101418","          3641234711.95","     112878","    4432599","         33.83"
"SBIN","EQ","15-May-2015","        280.95","        282.00","        288.35","        282.00","        287.00","        287.45","        286.14","   18247889","          5221414439.65","     141324","    9822825","         53.83"
"SBIN","EQ","18-May-2015","        287.45","        289.90","        290.00","        285.40","        289.65","        289.75","        288.06","   13266119","          3821386071.35","     119821","    6966214","         52.51"
"SBIN","EQ","19-May-2015","        289.75","        289.20","        291.35","        286.20","        288.00","        288.45","        288.97","   14541041","          4201900498.00","      98858","    7541029","         51.86"
"SBIN","EQ","20-May-2015","        288.45","        289.50","        294.80","        289.25","        292.30","        292.60","        292.81","   11807544","          3457364645.50","     101134","    4909279","         41.58"
"SBIN","EQ","21-May-2015","        292.60","        294.00","        294.75","        288.45","        291.50","        290.25","        290.62","   12118415","          3521843947.65","     120083","    5299090","         43.73"
"SBIN","EQ","22-May-2015","        290.25","        293.00","        305.00","        280.75","        281.90","        282.45","        294.15","   69490117","         20440188861.80","     554871","   14996458","         21.58"
"SBIN","EQ","25-May-2015","        282.45","        280.20","        284.30","        276.15","        277.20","        277.65","        280.10","   20356833","          5702047666.45","     185745","    6409730","         31.49"
"SBIN","EQ","26-May-2015","        277.65","        279.00","        280.80","        276.00","        277.60","        277.15","        278.15","    9675703","          2691299439.95","     102163","    2738446","         28.30"
"SBIN","EQ","27-May-2015","        277.15","        277.00","        281.60","        274.20","        281.20","        280.75","        278.78","   12176680","          3394562152.75","     105485","    4844746","         39.79"
"SBIN","EQ","28-May-2015","        280.75","        279.80","        279.80","        276.10","        278.30","        277.60","        277.89","   13024987","          3619470024.05","      92415","    6376048","         48.95"
"SBIN","EQ","29-May-2015","        277.60","        278.65","        281.65","        277.10","        278.60","        278.15","        278.99","   14809918","          4131890523.90","     102642","    8030292","         54.22"
"SBIN","EQ","01-Jun-2015","        278.15","        278.65","        282.00","        277.55","        278.20","        278.20","        279.63","   11567692","          3234686829.65","     103433","    5711324","         49.37"
"SBIN","EQ","02-Jun-2015","        278.20","        278.80","        279.45","        265.35","        266.50","        266.25","        271.93","   21653784","          5888406191.80","     205264","    7275006","         33.60"
"SBIN","EQ","03-Jun-2015","        266.25","        267.00","        267.30","        255.05","        258.25","        257.40","        259.44","   25967877","          6737182091.75","     242044","   13002088","         50.07"
"SBIN","EQ","04-Jun-2015","        257.40","        259.90","        261.40","        253.75","        257.70","        257.60","        257.36","   20210546","          5201373925.45","     151143","    8787871","         43.48"
